transaction_id,date,product_name,product_category,units_sold,unit_price,total_revenue,region,payment_method
10049,2024-02-18,Kindle Paperwhite,Electronics,2,129.99,259.98,North America,Credit Card
10050,2024-02-19,Breville Smart Oven,Home Appliances,1,299.99,299.99,Europe,PayPal
10051,2024-02-20,Ray-Ban Aviator Sunglasses,Clothing,3,154.99,464.97,Asia,Debit Card
10052,2024-02-21,The Silent Patient by Alex Michaelides,Books,2,26.99,53.98,North America,Credit Card
10053,2024-02-22,Shiseido Ultimate Sun Protector,Beauty Products,1,49,49,Europe,PayPal
10054,2024-02-23,Titleist Pro V1 Golf Balls,Sports,5,49.99,249.95,Asia,Credit Card
10055,2024-02-24,Anker PowerCore Portable Charger,Electronics,4,59.99,239.96,North America,Credit Card
10056,2024-02-25,KitchenAid Artisan Stand Mixer,Home Appliances,1,499.99,499.99,Europe,PayPal
10057,2024-02-26,Calvin Klein Boxer Briefs,Clothing,5,29.99,149.95,Asia,Debit Card
10058,2024-02-27,Educated by Tara Westover,Books,3,28,84,North America,Credit Card
10059,2024-02-28,Anastasia Beverly Hills Brow Wiz,Beauty Products,2,23,46,Europe,PayPal
10060,2024-02-29,Hyperice Hypervolt Massager,Sports,1,349,349,Asia,Credit Card
10061,2024-03-01,Nintendo Switch,Electronics,3,299.99,899.97,North America,Credit Card
10062,2024-03-02,Philips Airfryer XXL,Home Appliances,2,199.99,399.98,Europe,PayPal
10063,2024-03-03,Hanes ComfortSoft T-Shirt,Clothing,10,9.99,99.9,Asia,Debit Card
10064,2024-03-04,Where the Crawdads Sing by Delia Owens,Books,4,18.99,75.96,North America,Credit Card
10065,2024-03-05,Lancome La Vie Est Belle,Beauty Products,1,102,102,Europe,PayPal
10066,2024-03-06,Garmin Edge 530,Sports,2,299.99,599.98,Asia,Credit Card
10067,2024-03-07,Samsung QLED 4K TV,Electronics,1,1199.99,1199.99,North America,Credit Card
10068,2024-03-08,Eufy RoboVac 11S,Home Appliances,3,219.99,659.97,Europe,PayPal
10069,2024-03-09,Puma Suede Classic Sneakers,Clothing,4,59.99,239.96,Asia,Debit Card
10070,2024-03-10,The Great Gatsby by F. Scott Fitzgerald,Books,2,10.99,21.98,North America,Credit Card
10071,2024-03-11,Drunk Elephant C-Firma Day Serum,Beauty Products,1,78,78,Europe,PayPal
10072,2024-03-12,Nike Metcon 6,Sports,3,129.99,389.97,Asia,Credit Card
10073,2024-03-13,HP Spectre x360 Laptop,Electronics,1,1599.99,1599.99,North America,Credit Card
10074,2024-03-14,De'Longhi Magnifica Espresso Machine,Home Appliances,1,899.99,899.99,Europe,PayPal
10075,2024-03-15,Tommy Hilfiger Polo Shirt,Clothing,5,49.99,249.95,Asia,Debit Card
10076,2024-03-16,To Kill a Mockingbird by Harper Lee,Books,4,14.99,59.96,North America,Credit Card
10077,2024-03-17,Glossier Boy Brow,Beauty Products,2,16,32,Europe,PayPal
10078,2024-03-18,Rogue Fitness Kettlebell,Sports,3,69.99,209.97,Asia,Credit Card
10079,2024-03-19,Apple AirPods Pro,Electronics,2,249.99,499.98,North America,Credit Card
10080,2024-03-20,Dyson Pure Cool Link,Home Appliances,1,499.99,499.99,Europe,PayPal
10081,2024-03-21,Levi's Trucker Jacket,Clothing,2,89.99,179.98,Asia,Debit Card
10082,2024-03-22,The Hobbit by J.R.R. Tolkien,Books,3,12.99,38.97,North America,Credit Card
10083,2024-03-23,Charlotte Tilbury Magic Cream,Beauty Products,1,100,100,Europe,PayPal
10084,2024-03-24,Spalding NBA Street Basketball,Sports,6,24.99,149.94,Asia,Credit Card
10085,2024-03-25,Ring Video Doorbell,Electronics,1,99.99,99.99,North America,Credit Card
10086,2024-03-26,LG OLED TV,Home Appliances,2,1299.99,2599.98,Europe,PayPal
10087,2024-03-27,Uniqlo Ultra Light Down Jacket,Clothing,3,79.99,239.97,Asia,Debit Card
10088,2024-03-28,The Catcher in the Rye by J.D. Salinger,Books,4,13.99,55.96,North America,Credit Card
10089,2024-03-29,Sunday Riley Good Genes,Beauty Products,1,105,105,Europe,PayPal
10090,2024-03-30,On Running Cloud Shoes,Sports,2,129.99,259.98,Asia,Credit Card
10091,2024-03-31,Logitech MX Master 3 Mouse,Electronics,2,99.99,199.98,North America,Credit Card
10092,2024-04-01,Instant Pot Duo Crisp,Home Appliances,1,179.99,179.99,Europe,PayPal
10093,2024-04-02,Adidas Originals Superstar Sneakers,Clothing,4,79.99,319.96,Asia,Debit Card
10094,2024-04-03,The Alchemist by Paulo Coelho,Books,3,14.99,44.97,North America,Credit Card
10095,2024-04-04,Tatcha The Water Cream,Beauty Products,1,68,68,Europe,PayPal
10096,2024-04-05,Garmin Fenix 6X Pro,Sports,1,999.99,999.99,Asia,Credit Card
10097,2024-04-06,Bose SoundLink Revolve+ Speaker,Electronics,3,299.99,899.97,North America,Credit Card
10098,2024-04-07,Vitamix Explorian Blender,Home Appliances,1,349.99,349.99,Europe,PayPal
10099,2024-04-08,Gap Essential Crewneck T-Shirt,Clothing,6,19.99,119.94,Asia,Debit Card
10100,2024-04-09,The Power of Now by Eckhart Tolle,Books,2,12.99,25.98,North America,Credit Card
10101,2024-04-10,Kiehl's Midnight Recovery Concentrate,Beauty Products,1,82,82,Europe,PayPal
10102,2024-04-11,Under Armour HOVR Sonic 4 Shoes,Sports,2,109.99,219.98,Asia,Credit Card
10103,2024-04-12,Canon EOS R5 Camera,Electronics,1,3899.99,3899.99,North America,Credit Card
10104,2024-04-13,Shark IQ Robot Vacuum,Home Appliances,2,349.99,699.98,Europe,PayPal
10105,2024-04-14,H&M Slim Fit Jeans,Clothing,3,39.99,119.97,Asia,Debit Card
10106,2024-04-15,The Girl on the Train by Paula Hawkins,Books,4,10.99,43.96,North America,Credit Card
10107,2024-04-16,The Ordinary Niacinamide Serum,Beauty Products,1,6.5,6.5,Europe,PayPal
10108,2024-04-17,Bowflex SelectTech 552 Dumbbells,Sports,1,399.99,399.99,Asia,Credit Card
10109,2024-04-18,Google Nest Hub Max,Electronics,2,229.99,459.98,North America,Credit Card
10110,2024-04-19,Cuisinart Griddler Deluxe,Home Appliances,1,159.99,159.99,Europe,PayPal
10111,2024-04-20,Old Navy Relaxed-Fit T-Shirt,Clothing,4,14.99,59.96,Asia,Debit Card
10112,2024-04-21,Sapiens: A Brief History of Humankind by Yuval Noah Harari,Books,2,18.99,37.98,North America,Credit Card
10113,2024-04-22,Biore UV Aqua Rich Watery Essence Sunscreen,Beauty Products,1,15,15,Europe,PayPal
10114,2024-04-23,Fitbit Versa 3,Sports,3,229.95,689.85,Asia,Credit Card
10115,2024-04-24,Amazon Echo Show 10,Electronics,1,249.99,249.99,North America,Credit Card
10116,2024-04-25,Breville Smart Grill,Home Appliances,2,299.95,599.9,Europe,PayPal
10117,2024-04-26,Gap High Rise Skinny Jeans,Clothing,3,49.99,149.97,Asia,Debit Card
10118,2024-04-27,Atomic Habits by James Clear,Books,4,16.99,67.96,North America,Credit Card
10119,2024-04-28,CeraVe Hydrating Facial Cleanser,Beauty Products,2,14.99,29.98,Europe,PayPal
10120,2024-04-29,YETI Hopper Flip Portable Cooler,Sports,1,249.99,249.99,Asia,Credit Card
10121,2024-04-30,Apple iPad Air,Electronics,2,599.99,1199.98,North America,Credit Card
10122,2024-05-01,Hamilton Beach FlexBrew Coffee Maker,Home Appliances,1,89.99,89.99,Europe,PayPal
10123,2024-05-02,Forever 21 Graphic Tee,Clothing,5,12.99,64.95,Asia,Debit Card
10124,2024-05-03,The Subtle Art of Not Giving a F*ck by Mark Manson,Books,3,14.99,44.97,North America,Credit Card
10125,2024-05-04,NARS Radiant Creamy Concealer,Beauty Products,1,30,30,Europe,PayPal
10126,2024-05-05,Yeti Roadie 24 Cooler,Sports,1,199.99,199.99,Asia,Credit Card
10127,2024-05-06,Sony PlayStation 5,Electronics,1,499.99,499.99,North America,Credit Card
10128,2024-05-07,Dyson Supersonic Hair Dryer,Home Appliances,2,399.99,799.98,Europe,PayPal
10129,2024-05-08,Lululemon Align Leggings,Clothing,3,98,294,Asia,Debit Card
10130,2024-05-09,The Four Agreements by Don Miguel Ruiz,Books,2,8.99,17.98,North America,Credit Card
10131,2024-05-10,Fenty Beauty Killawatt Highlighter,Beauty Products,1,36,36,Europe,PayPal
10132,2024-05-11,Hydro Flask Wide Mouth Water Bottle,Sports,4,39.95,159.8,Asia,Credit Card
10133,2024-05-12,Microsoft Surface Laptop 4,Electronics,1,1299.99,1299.99,North America,Credit Card
10134,2024-05-13,Keurig K-Mini Coffee Maker,Home Appliances,2,79.99,159.98,Europe,PayPal
10135,2024-05-14,Gap Crewneck Sweatshirt,Clothing,4,34.99,139.96,Asia,Debit Card
10136,2024-05-15,Think and Grow Rich by Napoleon Hill,Books,3,9.99,29.97,North America,Credit Card
10137,2024-05-16,The Ordinary Hyaluronic Acid Serum,Beauty Products,1,6.8,6.8,Europe,PayPal
10138,2024-05-17,Fitbit Inspire 2,Sports,2,99.95,199.9,Asia,Credit Card
10139,2024-05-18,Samsung Odyssey G9 Gaming Monitor,Electronics,1,1499.99,1499.99,North America,Credit Card
10140,2024-05-19,Instant Pot Ultra,Home Appliances,1,139.99,139.99,Europe,PayPal
10141,2024-05-20,Adidas Essential Track Pants,Clothing,3,44.99,134.97,Asia,Debit Card
10142,2024-05-21,The Power of Habit by Charles Duhigg,Books,2,11.99,23.98,North America,Credit Card
10143,2024-05-22,Clinique Dramatically Different Moisturizing Lotion,Beauty Products,1,29.5,29.5,Europe,PayPal
10144,2024-05-23,YETI Tundra 45 Cooler,Sports,1,299.99,299.99,Asia,Credit Card
10145,2024-05-24,Apple AirPods Max,Electronics,1,549,549,North America,Credit Card
10146,2024-05-25,Cuisinart Coffee Center,Home Appliances,2,199.95,399.9,Europe,PayPal
10147,2024-05-26,Levi's Sherpa Trucker Jacket,Clothing,2,98,196,Asia,Debit Card
10148,2024-05-27,The Outsiders by S.E. Hinton,Books,3,10.99,32.97,North America,Credit Card
10149,2024-05-28,Laneige Water Sleeping Mask,Beauty Products,1,25,25,Europe,PayPal
10150,2024-05-29,Bose SoundSport Wireless Earbuds,Sports,2,149.99,299.98,Asia,Credit Card
10151,2024-05-30,Sony WH-1000XM4 Headphones,Electronics,1,349.99,349.99,North America,Credit Card
10152,2024-05-31,Ninja Foodi Pressure Cooker,Home Appliances,2,199.99,399.98,Europe,PayPal
10153,2024-06-01,Nike Sportswear Club Fleece Hoodie,Clothing,3,54.99,164.97,Asia,Debit Card
10154,2024-06-02,The Night Circus by Erin Morgenstern,Books,2,16.99,33.98,North America,Credit Card
10155,2024-06-03,GlamGlow Supermud Clearing Treatment,Beauty Products,1,59,59,Europe,PayPal
10156,2024-06-04,Garmin Forerunner 245,Sports,1,299.99,299.99,Asia,Credit Card
10157,2024-06-05,Google Pixel 6 Pro,Electronics,1,899.99,899.99,North America,Credit Card
10158,2024-06-06,Breville Nespresso Creatista Plus,Home Appliances,1,499.95,499.95,Europe,PayPal
10159,2024-06-07,Under Armour Tech 2.0 T-Shirt,Clothing,4,24.99,99.96,Asia,Debit Card
10160,2024-06-08,The Art of War by Sun Tzu,Books,3,7.99,23.97,North America,Credit Card
10161,2024-06-09,Youth to the People Superfood Antioxidant Cleanser,Beauty Products,1,36,36,Europe,PayPal
10162,2024-06-10,TriggerPoint GRID Foam Roller,Sports,2,34.99,69.98,Asia,Credit Card
10163,2024-06-11,Apple MacBook Air,Electronics,1,1199.99,1199.99,North America,Credit Card
10164,2024-06-12,Cuisinart Custom 14-Cup Food Processor,Home Appliances,1,199.99,199.99,Europe,PayPal
10165,2024-06-13,Adidas 3-Stripes Shorts,Clothing,5,29.99,149.95,Asia,Debit Card
10166,2024-06-14,The Hunger Games by Suzanne Collins,Books,4,8.99,35.96,North America,Credit Card
10167,2024-06-15,Neutrogena Hydro Boost Water Gel,Beauty Products,1,16.99,16.99,Europe,PayPal
10168,2024-06-16,Yeti Rambler Bottle,Sports,3,49.99,149.97,Asia,Credit Card
10169,2024-06-17,Samsung Odyssey G7 Gaming Monitor,Electronics,1,699.99,699.99,North America,Credit Card
10170,2024-06-18,Instant Pot Duo Evo Plus,Home Appliances,2,139.99,279.98,Europe,PayPal
10171,2024-06-19,Nike Tempo Running Shorts,Clothing,3,34.99,104.97,Asia,Debit Card
10172,2024-06-20,The Girl with the Dragon Tattoo by Stieg Larsson,Books,2,9.99,19.98,North America,Credit Card
10173,2024-06-21,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,Beauty Products,1,29.5,29.5,Europe,PayPal
10174,2024-06-22,Bowflex SelectTech 1090 Adjustable Dumbbells,Sports,1,699.99,699.99,Asia,Credit Card
10175,2024-06-23,Amazon Fire TV Stick 4K,Electronics,3,49.99,149.97,North America,Credit Card
10176,2024-06-24,Crock-Pot 6-Quart Slow Cooker,Home Appliances,2,49.99,99.98,Europe,PayPal
10177,2024-06-25,Uniqlo Airism Mesh Boxer Briefs,Clothing,4,14.9,59.6,Asia,Debit Card
10178,2024-06-26,The Sun Also Rises by Ernest Hemingway,Books,3,11.99,35.97,North America,Credit Card
10179,2024-06-27,First Aid Beauty Ultra Repair Cream,Beauty Products,2,34,68,Europe,PayPal
10180,2024-06-28,Oakley Holbrook Sunglasses,Sports,1,146,146,Asia,Credit Card
10181,2024-06-29,Google Pixelbook Go,Electronics,1,649.99,649.99,North America,Credit Card
10182,2024-06-30,Dyson V8 Absolute,Home Appliances,1,399.99,399.99,Europe,PayPal
10183,2024-07-01,Levi's 511 Slim Fit Jeans,Clothing,3,59.99,179.97,Asia,Debit Card
10184,2024-07-02,The Martian by Andy Weir,Books,2,12.99,25.98,North America,Credit Card
10185,2024-07-03,La Mer Crème de la Mer Moisturizer,Beauty Products,1,190,190,Europe,PayPal
10186,2024-07-04,Polar Vantage V2,Sports,1,499.95,499.95,Asia,Credit Card
10187,2024-07-05,Sonos Beam Soundbar,Electronics,1,399,399,North America,Credit Card
10188,2024-07-06,Anova Precision Cooker,Home Appliances,2,199,398,Europe,PayPal
10189,2024-07-07,Nike Dri-FIT Training Shorts,Clothing,4,34.99,139.96,Asia,Debit Card
10190,2024-07-08,The Catcher in the Rye by J.D. Salinger,Books,3,10.99,32.97,North America,Credit Card
10191,2024-07-09,Glossier Cloud Paint,Beauty Products,1,18,18,Europe,PayPal
10192,2024-07-10,TRX All-in-One Suspension Training System,Sports,1,169.95,169.95,Asia,Credit Card
10193,2024-07-11,Logitech G Pro X Wireless Gaming Headset,Electronics,1,199.99,199.99,North America,Credit Card
10194,2024-07-12,Breville Smart Coffee Grinder Pro,Home Appliances,1,199.95,199.95,Europe,PayPal
10195,2024-07-13,Adidas Ultraboost Running Shoes,Clothing,2,179.99,359.98,Asia,Debit Card
10196,2024-07-14,The Road by Cormac McCarthy,Books,2,11.99,23.98,North America,Credit Card
10197,2024-07-15,Tom Ford Black Orchid Perfume,Beauty Products,1,125,125,Europe,PayPal
10198,2024-07-16,GoPro HERO9 Black,Sports,1,449.99,449.99,Asia,Credit Card
10199,2024-07-17,Apple TV 4K,Electronics,2,179,358,North America,Credit Card
10200,2024-07-18,Instant Pot Duo Nova,Home Appliances,1,99.95,99.95,Europe,PayPal
10201,2024-07-19,Gap 1969 Original Fit Jeans,Clothing,3,59.99,179.97,Asia,Debit Card
10202,2024-07-20,The Goldfinch by Donna Tartt,Books,2,14.99,29.98,North America,Credit Card
10203,2024-07-21,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,Beauty Products,1,52,52,Europe,PayPal
10204,2024-07-22,Yeti Tundra Haul Portable Wheeled Cooler,Sports,1,399.99,399.99,Asia,Credit Card
10205,2024-07-23,Samsung Galaxy Watch 4,Electronics,1,299.99,299.99,North America,Credit Card
10206,2024-07-24,KitchenAid Stand Mixer,Home Appliances,1,379.99,379.99,Europe,PayPal
10207,2024-07-25,Lululemon Wunder Under High-Rise Leggings,Clothing,2,98,196,Asia,Debit Card
10208,2024-07-26,The Great Alone by Kristin Hannah,Books,3,16.99,50.97,North America,Credit Card
10209,2024-07-27,Caudalie Vinoperfect Radiance Serum,Beauty Products,1,79,79,Europe,PayPal
10210,2024-07-28,Bose SoundLink Color Bluetooth Speaker II,Sports,1,129,129,Asia,Credit Card
10211,2024-07-29,Canon EOS Rebel T7i DSLR Camera,Electronics,1,749.99,749.99,North America,Credit Card
10212,2024-07-30,Keurig K-Elite Coffee Maker,Home Appliances,2,169.99,339.98,Europe,PayPal
10213,2024-07-31,Uniqlo Airism Seamless Boxer Briefs,Clothing,4,9.9,39.6,Asia,Debit Card
10214,2024-08-01,The Girl with the Dragon Tattoo by Stieg Larsson,Books,3,10.99,32.97,North America,Credit Card
10215,2024-08-02,L'Occitane Shea Butter Hand Cream,Beauty Products,2,29,58,Europe,PayPal
10216,2024-08-03,YETI Tundra 65 Cooler,Sports,1,349.99,349.99,Asia,Credit Card
10217,2024-08-04,Apple MacBook Pro 16-inch,Electronics,1,2399,2399,North America,Credit Card
10218,2024-08-05,iRobot Braava Jet M6,Home Appliances,1,449.99,449.99,Europe,PayPal
10219,2024-08-06,Champion Reverse Weave Hoodie,Clothing,3,49.99,149.97,Asia,Debit Card
10220,2024-08-07,The Nightingale by Kristin Hannah,Books,2,12.99,25.98,North America,Credit Card
10221,2024-08-08,Tarte Shape Tape Concealer,Beauty Products,1,27,27,Europe,PayPal
10222,2024-08-09,Garmin Forerunner 945,Sports,1,599.99,599.99,Asia,Credit Card
10223,2024-08-10,Amazon Echo Dot (4th Gen),Electronics,4,49.99,199.96,North America,Credit Card
10224,2024-08-11,Philips Sonicare DiamondClean Toothbrush,Home Appliances,2,229.99,459.98,Europe,PayPal
10225,2024-08-12,Old Navy Mid-Rise Rockstar Super Skinny Jeans,Clothing,2,44.99,89.98,Asia,Debit Card
10226,2024-08-13,The Silent Patient by Alex Michaelides,Books,3,26.99,80.97,North America,Credit Card
10227,2024-08-14,The Ordinary Caffeine Solution 5% + EGCG,Beauty Products,1,6.7,6.7,Europe,PayPal
10228,2024-08-15,Fitbit Luxe,Sports,2,149.95,299.9,Asia,Credit Card
10229,2024-08-16,Google Nest Wifi Router,Electronics,1,169,169,North America,Credit Card
10230,2024-08-17,Anova Precision Oven,Home Appliances,1,599,599,Europe,PayPal
10231,2024-08-18,Adidas Originals Trefoil Hoodie,Clothing,4,64.99,259.96,Asia,Debit Card
10232,2024-08-19,Dune by Frank Herbert,Books,2,9.99,19.98,North America,Credit Card
10233,2024-08-20,Fresh Sugar Lip Treatment,Beauty Products,1,24,24,Europe,PayPal
10234,2024-08-21,Hydro Flask Standard Mouth Water Bottle,Sports,3,32.95,98.85,Asia,Credit Card
10235,2024-08-22,Bose QuietComfort 35 II Wireless Headphones,Electronics,1,299,299,North America,Credit Card
10236,2024-08-23,Nespresso Vertuo Next Coffee and Espresso Maker,Home Appliances,1,159.99,159.99,Europe,PayPal
10237,2024-08-24,Nike Air Force 1 Sneakers,Clothing,3,90,270,Asia,Debit Card
10238,2024-08-25,The Handmaid's Tale by Margaret Atwood,Books,3,10.99,32.97,North America,Credit Card
10239,2024-08-26,Sunday Riley Luna Sleeping Night Oil,Beauty Products,1,55,55,Europe,PayPal
10240,2024-08-27,Yeti Rambler 20 oz Tumbler,Sports,2,29.99,59.98,Asia,Credit Card
